1429932289	Fountain Stairs	Deerhunter	Halcyon Digest	3a083c30-6386-4108-8915-d411e165f2a0	4f416ed7-dda2-45de-a6f1-b986e861cf4b	0466b981-0b33-43dc-b849-3d889eab7cf0
1429931990	Helicopter	Deerhunter	Halcyon Digest	778ccbed-5141-453e-a988-8e644d0aef1c	4f416ed7-dda2-45de-a6f1-b986e861cf4b	0466b981-0b33-43dc-b849-3d889eab7cf0
1429931769	Basement Scene	Deerhunter	Halcyon Digest	3b095292-abb5-42f1-9007-f74b4b5b88f7	4f416ed7-dda2-45de-a6f1-b986e861cf4b	0466b981-0b33-43dc-b849-3d889eab7cf0
1429931364	Desire Lines	Deerhunter	Halcyon Digest	846ee90e-b80f-4105-9d5f-5a36b62ffef5	4f416ed7-dda2-45de-a6f1-b986e861cf4b	0466b981-0b33-43dc-b849-3d889eab7cf0
1429931235	Memory Boy	Deerhunter	Halcyon Digest	0ddacf26-3d01-44d9-889b-eac262444673	4f416ed7-dda2-45de-a6f1-b986e861cf4b	0466b981-0b33-43dc-b849-3d889eab7cf0
1429930936	Sailing	Deerhunter	Halcyon Digest	95774b06-9a0e-4a46-b8cd-ed514f2e4994	4f416ed7-dda2-45de-a6f1-b986e861cf4b	0466b981-0b33-43dc-b849-3d889eab7cf0
1429930802	Revival	Deerhunter	Halcyon Digest	7c5b3377-e28b-4c8b-a8dd-ebc3ff20721e	4f416ed7-dda2-45de-a6f1-b986e861cf4b	0466b981-0b33-43dc-b849-3d889eab7cf0
1429930633	Don’t Cry	Deerhunter	Halcyon Digest	014b464f-2417-42c9-bd21-5f7e95ab3780	4f416ed7-dda2-45de-a6f1-b986e861cf4b	0466b981-0b33-43dc-b849-3d889eab7cf0
1429930334	Earthquake	Deerhunter	Halcyon Digest	4cea59d9-8e05-4cdf-ab89-204670cb0bae	4f416ed7-dda2-45de-a6f1-b986e861cf4b	0466b981-0b33-43dc-b849-3d889eab7cf0
1429930083	Step	Vampire Weekend feat. Danny Brown, Heems & Despot	Unbelievers	d2982044-a4a5-4851-927d-0f34b950767c		
1429929919	Silent Machine	Cat Power	Sun	e2f873e8-74d6-499b-ad83-5354fc85d332	03e52a44-b264-453c-a0e0-fbfd89d72765	07c7d680-5937-4c61-b7e3-55b1be5be47d
1429929604	Manhattan	Cat Power	Sun	0dc6539b-f21d-4f82-8ad7-08af115f7ebe	03e52a44-b264-453c-a0e0-fbfd89d72765	07c7d680-5937-4c61-b7e3-55b1be5be47d
1429928704	Formal Dedications	Prefuse 73	Everything She Touched Turned Ampexian	cbbee590-41c3-4a53-aabe-d214b803d247	fc61dd75-880b-44ba-9ba9-c7b643d33413	76031375-3002-4be5-bce6-683ebdd02b1f
1429928668	Periodic Measurements of Infrequent Frowns	Prefuse 73	Everything She Touched Turned Ampexian	590eb719-2183-47ac-bd21-591dbe9688d4	fc61dd75-880b-44ba-9ba9-c7b643d33413	76031375-3002-4be5-bce6-683ebdd02b1f
1429928588	Pitch Pipe	Prefuse 73	Everything She Touched Turned Ampexian	06c551a2-967d-48c1-8e34-10d604280d25	fc61dd75-880b-44ba-9ba9-c7b643d33413	76031375-3002-4be5-bce6-683ebdd02b1f
1429928427	Preperation's Kids Choir	Prefuse 73	Everything She Touched Turned Ampexian		fc61dd75-880b-44ba-9ba9-c7b643d33413	76031375-3002-4be5-bce6-683ebdd02b1f
1429928170	Digan Lo	Prefuse 73	Everything She Touched Turned Ampexian	7a28ed1c-424d-4ba9-a37a-6fcf6b17302b	fc61dd75-880b-44ba-9ba9-c7b643d33413	76031375-3002-4be5-bce6-683ebdd02b1f
1429928117	Gaslamp Killer Feedback Text	Prefuse 73	Everything She Touched Turned Ampexian	229c78dc-3630-4473-a906-06191353af38	fc61dd75-880b-44ba-9ba9-c7b643d33413	76031375-3002-4be5-bce6-683ebdd02b1f
1429927901	No Lights Still Rock - Feat. Dimlite	Prefuse 73	Everything She Touched Turned Ampexian		fc61dd75-880b-44ba-9ba9-c7b643d33413	76031375-3002-4be5-bce6-683ebdd02b1f
1429927703	Simple Loop Choir	Prefuse 73	Everything She Touched Turned Ampexian	f207bf2f-109f-409c-a732-705aba60e603	fc61dd75-880b-44ba-9ba9-c7b643d33413	76031375-3002-4be5-bce6-683ebdd02b1f
1429927613	Yuletide	Prefuse 73	Everything She Touched Turned Ampexian	260e37b5-3723-4c4d-93c0-45facbe00c52	fc61dd75-880b-44ba-9ba9-c7b643d33413	76031375-3002-4be5-bce6-683ebdd02b1f
1429927494	natures uplifting revenge	Prefuse 73	Everything She Touched Turned Ampexian	c42d7750-884a-422b-934a-25f707ba109e	fc61dd75-880b-44ba-9ba9-c7b643d33413	76031375-3002-4be5-bce6-683ebdd02b1f
1429927398	Violent Bathroom Exchange	Prefuse 73	Everything She Touched Turned Ampexian	8481cd31-8b56-41b7-bbb3-222f0f54a3d7	fc61dd75-880b-44ba-9ba9-c7b643d33413	76031375-3002-4be5-bce6-683ebdd02b1f
1429927357	Fingertip Trajectories	Prefuse 73	Everything She Touched Turned Ampexian		fc61dd75-880b-44ba-9ba9-c7b643d33413	76031375-3002-4be5-bce6-683ebdd02b1f
1429927190	Four Reels Collide	Prefuse 73	Everything She Touched Turned Ampexian	20e7cf2b-2e5f-4807-a61c-c9d60078083b	fc61dd75-880b-44ba-9ba9-c7b643d33413	76031375-3002-4be5-bce6-683ebdd02b1f
1429927152	Oh Is It	Prefuse 73	Everything She Touched Turned Ampexian	a9c70638-4d77-4698-8d28-67f9ebb513e4	fc61dd75-880b-44ba-9ba9-c7b643d33413	76031375-3002-4be5-bce6-683ebdd02b1f
1429927112	Rubber Stems	Prefuse 73	Everything She Touched Turned Ampexian	68c0cb18-5c98-4163-9244-e59ef1368e2a	fc61dd75-880b-44ba-9ba9-c7b643d33413	76031375-3002-4be5-bce6-683ebdd02b1f
1429926891	Regalo	Prefuse 73	Everything She Touched Turned Ampexian	e426bcc7-e70d-45bb-a754-49891a359c27	fc61dd75-880b-44ba-9ba9-c7b643d33413	76031375-3002-4be5-bce6-683ebdd02b1f
1429926819	Whipcream Eyepatch	Prefuse 73	Everything She Touched Turned Ampexian	ca814a56-111f-45c4-a2e2-9ffbfdb19fbe	fc61dd75-880b-44ba-9ba9-c7b643d33413	76031375-3002-4be5-bce6-683ebdd02b1f
1429926734	Fountains of Spring	Prefuse 73	Everything She Touched Turned Ampexian	25b2f600-a936-4052-89eb-6694c9be4e07	fc61dd75-880b-44ba-9ba9-c7b643d33413	76031375-3002-4be5-bce6-683ebdd02b1f
1429926687	When Is a Good Time?	Prefuse 73	Everything She Touched Turned Ampexian	c945b683-fe3a-43d3-863d-8331635aaf70	fc61dd75-880b-44ba-9ba9-c7b643d33413	76031375-3002-4be5-bce6-683ebdd02b1f
